2026-05-08 19:45:50 status half-configured gpgconf:amd64 2.4.7-21+deb13u1+b2
2026-05-08 19:45:50 status installed gpgconf:amd64 2.4.7-21+deb13u1+b2
2026-05-08 19:45:50 configure gpg:amd64 2.4.7-21+deb13u1+b2 <none>
2026-05-08 19:45:50 status unpacked gpg:amd64 2.4.7-21+deb13u1+b2
2026-05-08 19:45:50 status half-configured gpg:amd64 2.4.7-21+deb13u1+b2
2026-05-08 19:45:51 status installed gpg:amd64 2.4.7-21+deb13u1+b2
2026-05-08 19:45:51 configure libgnutls30t64:amd64 3.8.9-3+deb13u2 <none>
2026-05-08 19:45:51 status unpacked libgnutls30t64:amd64 3.8.9-3+deb13u2
2026-05-08 19:45:51 status half-configured libgnutls30t64:amd64 3.8.9-3+deb13u2
2026-05-08 19:45:51 status installed libgnutls30t64:amd64 3.8.9-3+deb13u2
2026-05-08 19:45:51 configure gpg-agent:amd64 2.4.7-21+deb13u1+b2 <none>
2026-05-08 19:45:51 status unpacked gpg-agent:amd64 2.4.7-21+deb13u1+b2
2026-05-08 19:45:51 status half-configured gpg-agent:amd64 2.4.7-21+deb13u1+b2
2026-05-08 19:45:51 status installed gpg-agent:amd64 2.4.7-21+deb13u1+b2
2026-05-08 19:45:51 configure gpgsm:amd64 2.4.7-21+deb13u1+b2 <none>
2026-05-08 19:45:51 status unpacked gpgsm:amd64 2.4.7-21+deb13u1+b2
2026-05-08 19:45:51 status half-configured gpgsm:amd64 2.4.7-21+deb13u1+b2
2026-05-08 19:45:51 status installed gpgsm:amd64 2.4.7-21+deb13u1+b2
2026-05-08 19:45:51 configure libpsl5t64:amd64 0.21.2-1.1+b1 <none>
2026-05-08 19:45:51 status unpacked libpsl5t64:amd64 0.21.2-1.1+b1
2026-05-08 19:45:51 status half-configured libpsl5t64:amd64 0.21.2-1.1+b1
2026-05-08 19:45:51 status installed libpsl5t64:amd64 0.21.2-1.1+b1
2026-05-08 19:45:51 configure dirmngr:amd64 2.4.7-21+deb13u1+b2 <none>
2026-05-08 19:45:51 status unpacked dirmngr:amd64 2.4.7-21+deb13u1+b2
2026-05-08 19:45:51 status half-configured dirmngr:amd64 2.4.7-21+deb13u1+b2
2026-05-08 19:45:51 status installed dirmngr:amd64 2.4.7-21+deb13u1+b2
2026-05-08 19:45:51 configure librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b5 <none>
2026-05-08 19:45:51 status unpacked librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b5
2026-05-08 19:45:51 status half-configured librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b5
2026-05-08 19:45:51 status installed librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b5
2026-05-08 19:45:51 configure gnupg:all 2.4.7-21+deb13u1 <none>
2026-05-08 19:45:51 status unpacked gnupg:all 2.4.7-21+deb13u1
2026-05-08 19:45:51 status half-configured gnupg:all 2.4.7-21+deb13u1
2026-05-08 19:45:51 status installed gnupg:all 2.4.7-21+deb13u1
2026-05-08 19:45:51 configure wget:amd64 1.25.0-2 <none>
2026-05-08 19:45:51 status unpacked wget:amd64 1.25.0-2
2026-05-08 19:45:51 status half-configured wget:amd64 1.25.0-2
2026-05-08 19:45:51 status installed wget:amd64 1.25.0-2
2026-05-08 19:45:51 configure libcurl4t64:amd64 8.14.1-2+deb13u2 <none>
2026-05-08 19:45:51 status unpacked libcurl4t64:amd64 8.14.1-2+deb13u2
2026-05-08 19:45:51 status half-configured libcurl4t64:amd64 8.14.1-2+deb13u2
2026-05-08 19:45:51 status installed libcurl4t64:amd64 8.14.1-2+deb13u2
2026-05-08 19:45:51 configure curl:amd64 8.14.1-2+deb13u2 <none>
2026-05-08 19:45:51 status unpacked curl:amd64 8.14.1-2+deb13u2
2026-05-08 19:45:51 status half-configured curl:amd64 8.14.1-2+deb13u2
2026-05-08 19:45:51 status installed curl:amd64 8.14.1-2+deb13u2
2026-05-08 19:45:51 trigproc libc-bin:amd64 2.41-12+deb13u2 <none>
2026-05-08 19:45:51 status half-configured libc-bin:amd64 2.41-12+deb13u2
2026-05-08 19:45:51 status installed libc-bin:amd64 2.41-12+deb13u2
2026-05-08 19:45:51 trigproc ca-certificates:all 20250419 <none>
2026-05-08 19:45:51 status half-configured ca-certificates:all 20250419
2026-05-08 19:45:52 status installed ca-certificates:all 20250419
2026-05-08 19:46:01 startup packages remove
2026-05-08 19:46:01 status installed ca-certificates:all 20250419
2026-05-08 19:46:01 remove ca-certificates:all 20250419 <none>
2026-05-08 19:46:01 status half-configured ca-certificates:all 20250419
2026-05-08 19:46:01 status half-installed ca-certificates:all 20250419
2026-05-08 19:46:01 status config-files ca-certificates:all 20250419
2026-05-08 19:46:01 status installed curl:amd64 8.14.1-2+deb13u2
2026-05-08 19:46:01 remove curl:amd64 8.14.1-2+deb13u2 <none>
2026-05-08 19:46:01 status half-configured curl:amd64 8.14.1-2+deb13u2
2026-05-08 19:46:01 status half-installed curl:amd64 8.14.1-2+deb13u2
2026-05-08 19:46:01 status config-files curl:amd64 8.14.1-2+deb13u2
2026-05-08 19:46:01 status not-installed curl:amd64 <none>
2026-05-08 19:46:01 status installed gnupg:all 2.4.7-21+deb13u1
2026-05-08 19:46:01 remove gnupg:all 2.4.7-21+deb13u1 <none>
2026-05-08 19:46:01 status half-configured gnupg:all 2.4.7-21+deb13u1
2026-05-08 19:46:01 status half-installed gnupg:all 2.4.7-21+deb13u1
2026-05-08 19:46:01 status config-files gnupg:all 2.4.7-21+deb13u1
2026-05-08 19:46:01 status not-installed gnupg:all <none>
2026-05-08 19:46:01 status installed dirmngr:amd64 2.4.7-21+deb13u1+b2
2026-05-08 19:46:01 remove dirmngr:amd64 2.4.7-21+deb13u1+b2 <none>
2026-05-08 19:46:01 status half-configured dirmngr:amd64 2.4.7-21+deb13u1+b2
2026-05-08 19:46:01 status half-installed dirmngr:amd64 2.4.7-21+deb13u1+b2
2026-05-08 19:46:01 status config-files dirmngr:amd64 2.4.7-21+deb13u1+b2
2026-05-08 19:46:01 status installed gnupg-l10n:all 2.4.7-21+deb13u1
2026-05-08 19:46:01 remove gnupg-l10n:all 2.4.7-21+deb13u1 <none>
2026-05-08 19:46:01 status half-configured gnupg-l10n:all 2.4.7-21+deb13u1
2026-05-08 19:46:01 status half-installed gnupg-l10n:all 2.4.7-21+deb13u1
2026-05-08 19:46:01 status config-files gnupg-l10n:all 2.4.7-21+deb13u1
2026-05-08 19:46:01 status not-installed gnupg-l10n:all <none>
2026-05-08 19:46:01 status installed gpg:amd64 2.4.7-21+deb13u1+b2
2026-05-08 19:46:01 remove gpg:amd64 2.4.7-21+deb13u1+b2 <none>
2026-05-08 19:46:01 status half-configured gpg:amd64 2.4.7-21+deb13u1+b2
2026-05-08 19:46:01 status half-installed gpg:amd64 2.4.7-21+deb13u1+b2
2026-05-08 19:46:01 status config-files gpg:amd64 2.4.7-21+deb13u1+b2
